1268471,125049,2238814,202310260410
361133,125049,2238814,202312090526
88914,125049,2238814,202307291222
59268,125049,2238814,202310170159
291703,125049,2238814,202401160447
274466,125049,2238814,202307280730
2285912,125049,2238814,202312060240
372436,125049,2238814,202309240012
67104,125049,2238814,202310232001
718019,125049,2238814,202311090745
1099396,125049,2238814,202311112159
80699,125049,2238814,202403310336
224031,125049,2238814,202308200656
99766,125049,2238814,202309231944
119728,125049,2238814,202309010839
407971,125049,2238814,202311172249
634289,125049,2238814,202311161142
167337,125049,2238814,202308192004
1248109,125049,2238814,202309302358
37385,125049,2238814,202307270652
335962,125049,2238814,202310312310
1618611,125049,2238814,202403160922
2447975,125049,2238814,202310121434
31004,125049,2238814,202307282328
2702647,125049,2238814,202402071934
1122698,125049,2238814,202310092216
401453,125049,2238814,202310200152
46661,125049,2238814,202308031813
207204,125049,2238814,202309060526
2576006,125049,2238814,202404110306
350045,125049,2238814,202308172207
167274,125049,2238814,202309032056
233897,125049,2238814,202308300131
541665,125049,2238814,202310060641
99579,125049,2238814,202308012151
19284,125049,2238814,202310151137
144800,125049,2238814,202310012126
940419,125049,2238814,202307292336
310817,125049,2238814,202312042032
364851,125049,2238814,202312052259
68732,125049,2238814,202309231423
563974,125049,2238814,202309250747
10469,125049,2238814,202309201902
229798,125049,2238814,202310050158
469489,125049,2238814,202308022038
231516,125049,2238814,202308140848
100773,125049,2238814,202402110238
210917,125049,2238814,202402100106
586021,125049,2238814,202309272041
1197034,125049,2238814,202312082148
996207,125049,2238814,202402121830
35933,125049,2238814,202310231243
2183833,125049,2238814,202402082013
519700,125049,2238814,202308261000
102248,125049,2238814,202308250054
150970,125049,2238814,202402202137
372382,125049,2238814,202309250654
164336,125049,2238814,202311081211
361224,125049,2238814,202403102358
13387,125049,2238814,202310230821
61441,125049,2238814,202402251353
1914904,125049,2238814,202309012332
876942,125049,2238814,202310282017
565171,125049,2238814,202310240630
421966,125049,2238814,202311281209
68897,125049,2238814,202307270823
547559,125049,2238814,202312231644
478411,125049,2238814,202310102144
193574,125049,2238814,202309202159
782133,125049,2238814,202312260804
272774,125049,2238814,202308191040
702384,125049,2238814,202308290805
2887412,125049,2238814,202311111552
702598,125049,2238814,202310310606
64546,125049,2238814,202310091223
4410759,125049,2238814,202312150130
714718,125049,2238814,202310202058
2815598,125049,2238814,202310020744
328208,125049,2238814,202308180652
2089284,125049,2238814,202402101733
67166,125049,2238814,202308251233
678503,125049,2238814,202308291447
886718,125049,2238814,202401061220
1034926,125049,2238814,202312211835
93604,125049,2238814,202309200213
1972522,125049,2238814,202310222304
1192522,125049,2238814,202311171447
26925,125049,2238814,202312051625
356688,125049,2238814,202307292118
18580,125049,2238814,202403210944
715072,125049,2238814,202310101036
